Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,avg val received,avg val sent,total Ether sent,total ether received,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent token name, ERC20 uniq rec token name,unique_sent_addresses,unique_received_addresses,failed_tx_ratio,avg_gas_used,total_tx_count,sent_received_ratio,erc20_total_txs,address,FLAG,goplus_flags
0.0,96095.98859649124,1825823.7833333332,1,20,0,5.344370031428105,106.88610731,106.88610731,106.8874006285621,3.3318562104134e-05,0,0,0,3,0,3,1,20,0.0,21000.0,21,0.05,4,0x09750ad360fdb7a2ee23669c4503c974d86d8694,1,"stealing_attack,phishing_activities"
0.0,0.0,5110.0,1,1,0,4.93356978,4.93264578,4.93264578,4.93356978,0.0,0,0,0,2,0,2,1,1,0.0,21000.0,2,1.0,3,0xc915eC7f4CFD1C0A8Aba090F03BfaAb588aEF9B4,1,phishing_activities
0.0,0.0,5118.7,1,1,0,5.89865729,5.89775429,5.89775429,5.89865729,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,3,0xecb6ffaC05D8b4660b99B475B359FE454c77D153,1,phishing_activities
0.0,0.0,5124.35,1,1,0,5.60973329,5.60885129,5.60885129,5.60973329,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,3,0x7F85A82a2da50540412F6E526F1D00A0690a77B8,1,phishing_activities
0.0,0.0,5134.016666666666,1,1,0,5.66757496,5.66660896,5.66660896,5.66757496,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,3,0xBc8b85b1515E45Fb2d74333310A1d37B879732c0,1,phishing_activities
0.0,0.0,5127.083333333333,1,1,0,5.56819527,5.56731327,5.56731327,5.56819527,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,2,0xBBF84F9b823c42896c9723C0BE4D5f5eDe257b52,1,phishing_activities
0.0,0.0,5131.916666666667,1,1,0,5.86541353,5.86453153,5.86453153,5.86541353,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,1,0xD5cE086A9d4987Adf088889A520De98299E10bb5,1,phishing_activities
0.0,0.0,5134.816666666667,1,1,0,5.64418133,5.64329933,5.64329933,5.64418133,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,1,0x6B5C35d525D2d94c68Ab5c5AF9729092fc8771Dd,1,phishing_activities
0.0,0.0,5136.816666666667,1,1,0,5.78741427,5.78653227,5.78653227,5.78741427,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,1,0x4541c7745c82DF8c10bD4A58e28161534B353064,1,phishing_activities
0.0,0.0,5144.9,1,1,0,5.51614914,5.51526714,5.51526714,5.51614914,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,2,0x0a00Fb2e074Ffaaf6c561164C6458b5C448120FC,1,phishing_activities
0.0,0.0,5148.866666666667,1,1,0,5.69575847,5.69485547,5.69485547,5.69575847,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,2,0x3A3999e6501e2a36dD3C0B8Fc2Bd165fc4a22e54,1,phishing_activities
0.0,0.0,5154.0,1,1,0,5.69515466,5.69423066,5.69423066,5.69515466,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,1,0x39F3E7fA18d342De467AD9d7065A46c8385589F7,1,phishing_activities
0.0,0.0,5159.1,1,1,0,5.6592957,5.6583297,5.6583297,5.6592957,0.0,0,0,0,0,0,0,1,1,0.0,21000.0,2,1.0,0,0x439cB5628e64677c540A8635c86e41D83C1170d5,1,phishing_activities
0.0,0.0,5203.716666666666,1,1,0,5.64296141,5.64203741,5.64203741,5.64296141,0.0,0,0,0,0,0,0,1,1,0.0,21000.0,2,1.0,0,0x22764DE8f82F2D2a90e0cCCa4556A2a5114B6461,1,phishing_activities
0.0,0.0,5195.233333333334,1,1,0,5.6556827,5.6546957,5.6546957,5.6556827,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,1,0xc28F50625CfE028Ab1A3458C7cEbCf9657Ff1438,1,phishing_activities
0.0,0.0,5190.333333333333,1,1,0,5.60996534,5.60897834,5.60897834,5.60996534,0.0,0,0,0,0,0,0,1,1,0.0,21000.0,2,1.0,0,0x14130D36B36887620c37A404f859D11e293ec06A,1,phishing_activities
0.0,0.0,5185.816666666667,1,1,0,5.64119803,5.64021103,5.64021103,5.64119803,0.0,0,0,0,0,0,0,1,1,0.0,21000.0,2,1.0,0,0x2f77f4523a13138b472Ac6fAeF624ccE68DA2c46,1,phishing_activities
0.0,0.0,5176.983333333334,1,1,0,5.54203997,5.54105297,5.54105297,5.54203997,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,2,0x2315314c5Cadb895C2c9982b847FD6f6A32D6129,1,phishing_activities
0.0,0.0,5164.283333333334,1,1,0,5.64778352,5.64679652,5.64679652,5.64778352,0.0,0,0,0,1,0,1,1,1,0.0,21000.0,2,1.0,1,0x8651e8e218597e781E9a6D8CEB53ec5A236Ae75b,1,phishing_activities
0.0,0.0,5161.333333333333,1,1,0,5.62436265,5.62337565,5.62337565,5.62436265,0.0,0,0,0,0,0,0,1,1,0.0,21000.0,2,1.0,0,0x2f80A6700e4bea478aC027F019f04A78a7538D06,1,phishing_activities
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,0.0,1411083.0,1,0.0,2,0x90a16ebcf1bc0da0347134f707da93c40bb8a4c5,1,phishing_activities
0.0,956.1833333333332,5737.1,0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,1,0.125,120316.625,8,0.0,2,0x983bda798a24720bb4fe3dba287ec352e7b440fc,1,
0.0,10015.845833333333,40063.38333333333,0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,1,0.0,148184.33333333334,6,0.0,2,0x45029af827c652f47b1f678456b2cd009647c8ad,1,
0.0,46250.51666666666,925010.3333333334,0,21,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,2,0.0,101363.0,22,0.0,2,0xF193a9aFb00715AaCF7ca9Ebffafe02C77517C2E,1,phishing_activities
0.0,10.575,21.15,0,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,2,0,1,0.5,312427.0,4,0.0,3,0xcc02b920ae227f1be7d01fc241c27e5f74d40436,1,phishing_activities
0.0,4004.3666666666672,28030.566666666666,0,8,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,2,0,2,0.3333333333333333,178254.66666666666,9,0.0,2,0xa153a6eF80fb5d60de18688bdC82684d48FC8De1,1,phishing_activities
0.0,9612.051915708813,836248.5166666667,0,88,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,11,0.0,60871.20224719101,89,0.0,1,0x19fb7020381fe9197bf841d5034D5467FE5a3C93,1,phishing_activities
0.0,812.9145833333333,13006.633333333331,0,17,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,4,0.1111111111111111,130218.72222222222,18,0.0,1,0x8abe0a9b8A1C8a003354E61F3ed8befdeb7D2CEc,1,phishing_activities
0.0,586483.7611111111,3518902.566666667,0,7,0,0.1430057142857143,0.0,0.0,1.0010400000000002,1.00004,0,0,0,3,0,3,0,4,0.125,81263.375,8,0.0,3,0xfb6E71e0800BcCC0db8a9Cf326fe3213CA1A0EA0,1,phishing_activities
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,2,0,0,0.0,0.0,0,0.0,2,0xB4c9d8A5812a024BDb177991af256dA144776033,1,"stealing_attack,phishing_activities"
0.0,0.0,0.0,0,1,0,1e-15,0.0,0.0,1e-15,1e-15,0,0,0,1,0,1,0,1,0.0,21000.0,1,0.0,1,0x5ddD20aC4bACFf3f148aF4C8C24194a1C102CfE5,1,"stealing_attack,phishing_activities"
35017.784375,14084.439166666669,1125323.55,33,21,0,1.0259696948741686,0.6552731987878788,21.62401556,21.545363592357536,0.0017970323575382,0,0,0,4,0,5,33,14,0.0,21000.0,54,1.5714285714285714,5,0x03f034Fb47965123ea4148e3147E2cfdC5B1f7a5,1,"stealing_attack,phishing_activities"
